,Latitude,Longitude,Altitude,UTC-Time,Date,filename,lat,lon,name,admin1,City,Country
0,-38.76,143.67,2,2,2,2,-38.7594,143.67219,Apollo Bay,Victoria,Colac-Otway,Australia
1,-38.67,143.1,2,2,2,2,-38.7594,143.67219,Apollo Bay,Victoria,Colac-Otway,Australia
2,-38.67,143.11,3,3,3,3,-38.7594,143.67219,Apollo Bay,Victoria,Colac-Otway,Australia
3,-38.67,143.13,1,1,1,1,-38.7594,143.67219,Apollo Bay,Victoria,Colac-Otway,Australia
4,-38.67,143.57,12,12,12,12,-38.7594,143.67219,Apollo Bay,Victoria,Colac-Otway,Australia
5,-38.66,143.1,3,3,3,3,-38.38639,142.59431,Allansford,Victoria,Warrnambool,Australia
6,-38.65,143.06,2,2,2,2,-38.38639,142.59431,Allansford,Victoria,Warrnambool,Australia
7,-38.65,143.07,1,1,1,1,-38.38639,142.59431,Allansford,Victoria,Warrnambool,Australia
8,-38.62,142.91,2,2,2,2,-38.38639,142.59431,Allansford,Victoria,Warrnambool,Australia
9,-38.62,142.99,4,4,4,4,-38.38639,142.59431,Allansford,Victoria,Warrnambool,Australia
10,-38.47,144.1,7,7,7,7,-38.4073,144.18587,Anglesea,Victoria,Surf Coast,Australia
11,-38.38,144.77,12,12,12,12,-38.36131,144.77955,Blairgowrie,Victoria,Mornington Peninsula,Australia
12,-38.37,144.77,1,1,1,1,-38.36131,144.77955,Blairgowrie,Victoria,Mornington Peninsula,Australia
13,-38.37,144.82,4,4,4,4,-38.36667,144.81667,Rye,Victoria,,Australia
14,-38.34,144.74,2,2,2,2,-38.33958,144.74126,Sorrento,Victoria,Mornington Peninsula,Australia
15,-38.34,144.75,4,4,4,4,-38.33958,144.74126,Sorrento,Victoria,Mornington Peninsula,Australia
16,-38.33,144.69,19,19,19,19,-38.33958,144.74126,Sorrento,Victoria,Mornington Peninsula,Australia
17,-38.33,144.7,14,14,14,14,-38.33958,144.74126,Sorrento,Victoria,Mornington Peninsula,Australia
18,-38.33,144.8,1,1,1,1,-38.36131,144.77955,Blairgowrie,Victoria,Mornington Peninsula,Australia
19,-38.28,145.0,2,2,2,2,-38.26667,145.01667,Mount Martha,Victoria,Mornington Peninsula,Australia
20,-38.27,145.0,1,1,1,1,-38.26667,145.01667,Mount Martha,Victoria,Mornington Peninsula,Australia
21,-38.27,145.01,6,6,6,6,-38.26667,145.01667,Mount Martha,Victoria,Mornington Peninsula,Australia
22,-38.22,145.03,1,1,1,1,-38.21792,145.03876,Mornington,Victoria,Mornington Peninsula,Australia
23,-38.22,145.04,11,11,11,11,-38.21792,145.03876,Mornington,Victoria,Mornington Peninsula,Australia
24,-38.21,145.04,2,2,2,2,-38.21792,145.03876,Mornington,Victoria,Mornington Peninsula,Australia
25,-37.92,144.99,6,6,6,6,-37.90694,145.00528,North Brighton,Victoria,Bayside,Australia
26,-37.89,145.08,1,1,1,1,-37.89023,145.07112,Murrumbeena,Victoria,Glen Eira,Australia
27,-37.87,144.97,21,21,21,21,-37.85988,144.97108,St Kilda West,Victoria,Port Phillip,Australia
28,-37.87,144.98,10,10,10,10,-37.8676,144.98099,Saint Kilda,Victoria,Port Phillip,Australia
